Name,Category,Total Time (us),Average Time per Event (us),Count
PyTorch Profiler (0),Trace,235968.191,235968.191,1
threading.py(1032): _bootstrap,python_function,235905.571,235905.571,1
threading.py(1075): _bootstrap_inner,python_function,235904.537,235904.537,1
tqdm/_monitor.py(60): run,python_function,235902.782,235902.782,1
threading.py(655): wait,python_function,235902.132,235902.132,1
threading.py(359): wait,python_function,235900.932,235900.932,1
ECS251.py(114): <module>,python_function,235897.368,235897.368,1
torch/nn/modules/module.py(1743): _call_impl,python_function,194478.677,296.0101629,657
accelerate/data_loader.py(576): __iter__,python_function,107425.508,35808.50267,3
<built-in method to of Tensor object at 0x7fb1193e9a40>,python_function,100848.687,4202.028625,24
accelerate/utils/operations.py(135): send_to_device,python_function,100825.812,33608.604,3
transformers/tokenization_utils_base.py(802): to,python_function,100796.487,33598.829,3
aten::to,cpu_op,100464.263,531.5569471,189
aten::copy_,cpu_op,100249.957,1193.451869,84
aten::_to_copy,cpu_op,100155.149,4173.131208,24
cudaStreamSynchronize,cuda_runtime,99171.975,8264.33125,12
ProfilerStep#2,user_annotation,74332.953,74332.953,1
ProfilerStep#4,user_annotation,66860.025,66860.025,1
ProfilerStep#3,user_annotation,60105.821,60105.821,1
torch/_tensor.py(570): backward,python_function,58085.232,19361.744,3
torch/autograd/__init__.py(242): backward,python_function,58060.06,19353.35333,3
torch/autograd/graph.py(814): _engine_run_backward,python_function,57837.227,19279.07567,3
<built-in method run_backward of torch._C._EngineBase object at 0x7fb29e8df0a0>,python_function,57815.043,19271.681,3
"fmha_cutlassB_f32_aligned_64x64_k64_sm80(PyTorchMemEffAttention::AttentionBackwardKernel<cutlass::arch::Sm80, float, true, false, false, 64, 64, 64, false>::Params)",kernel,40817.78,887.3430435,46
nn.Module: BertForSequenceClassification_0,python_function,34987.104,11662.368,3
transformers/models/bert/modeling_bert.py(1636): forward,python_function,34957.874,11652.62467,3
torch/profiler/profiler.py(811): step,python_function,34607.984,11535.99467,3
torch/profiler/profiler.py(848): _transit_action,python_function,34301.766,11433.922,3
torch/profiler/profiler.py(235): stop_trace,python_function,34284.064,34284.064,1
torch/autograd/profiler.py(363): __exit__,python_function,34281.208,34281.208,1
torch/cuda/__init__.py(975): synchronize,python_function,34276.341,34276.341,1
<built-in function _cuda_synchronize>,python_function,34149.538,34149.538,1
cudaDeviceSynchronize,cuda_runtime,34128.042,34128.042,1
nn.Module: BertModel_0,python_function,33868.3,11289.43333,3
transformers/models/bert/modeling_bert.py(1001): forward,python_function,33827.252,11275.75067,3
void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_8x4_nn_align1>(cutlass_80_simt_sgemm_256x128_8x4_nn_align1::Params),kernel,32798.762,140.7672189,233
nn.Module: BertEncoder_0,python_function,29849.422,9949.807333,3
transformers/models/bert/modeling_bert.py(651): forward,python_function,29828.029,9942.676333,3
transformers/models/bert/modeling_bert.py(573): forward,python_function,29371.589,815.8774722,36
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x256_8x4_nt_align1>(cutlass_80_simt_sgemm_128x256_8x4_nt_align1::Params),kernel,28675.726,311.6926739,92
ampere_sgemm_128x128_tn,kernel,27640.975,383.9024306,72
ProfilerStep#2,gpu_user_annotation,25392.539,25392.539,1
ProfilerStep#4,gpu_user_annotation,24347.306,24347.306,1
ProfilerStep#3,gpu_user_annotation,23335.969,23335.969,1
autograd::engine::evaluate_function: AddmmBackward0,cpu_op,20649.84,93.0172973,222
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8x5_nt_align1>(cutlass_80_simt_sgemm_128x64_8x5_nt_align1::Params),kernel,18073.048,95.12130526,190
transformers/models/bert/modeling_bert.py(505): forward,python_function,18031.25,500.8680556,36
ampere_sgemm_128x64_tn,kernel,15946.744,110.7412778,144
ampere_sgemm_128x64_nn,kernel,15726.43,341.878913,46
AddmmBackward0,cpu_op,13392.043,60.32451802,222
cudaLaunchKernel,cuda_runtime,12918.071,6.341713795,2037
torch/nn/modules/linear.py(124): forward,python_function,12412.914,55.91402703,222
transformers/models/bert/modeling_bert.py(364): forward,python_function,12322.058,342.2793889,36
<built-in function linear>,python_function,12086.037,54.44160811,222
"fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEffAttention::AttentionKernel<float, cutlass::arch::Sm80, true, 64, 64, 64, true, true>::Params)",kernel,11256.551,312.6819722,36
aten::linear,cpu_op,11225.02,50.56315315,222
transformers/pytorch_utils.py(185): apply_chunking_to_forward,python_function,11023.978,306.2216111,36
aten::mm,cpu_op,9529.428,21.46267568,444
transformers/models/bert/modeling_bert.py(638): feed_forward_chunk,python_function,9105.175,252.9215278,36
autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,cpu_op,8628.355,14.30904643,603
aten::addmm,cpu_op,8354.057,37.63088739,222
"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<float>, std::array<char*, 3ul>)",kernel,7718.695,7.450477799,1036
torch::autograd::AccumulateGrad,cpu_op,7327.877,12.1523665,603
aten::add_,cpu_op,7131.821,9.509094667,750
aten::sum,cpu_op,6648.836,25.47446743,261
<built-in function next>,python_function,6608.499,734.2776667,9
torch/utils/data/dataloader.py(703): __next__,python_function,6559.611,2186.537,3
autograd::engine::evaluate_function: ScaledDotProductEfficientAttentionBackward0,cpu_op,6529.75,181.3819444,36
enumerate(DataLoader)#_SingleProcessDataLoaderIter.__next__,user_annotation,6462.521,2154.173667,3
"void at::native::vectorized_elementwise_kernel<4, at::native::GeluBackwardCUDAKernelImpl(at::TensorIteratorBase&, at::native::GeluType)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float, float)#1}, std::array<char*, 3ul> >(int, at::native::GeluBackwardCUDAKernelImpl(at::TensorIteratorBase&, at::native::GeluType)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float, float)#1}, std::array<char*, 3ul>)",kernel,6355.126,138.154913,46
torch/utils/data/dataloader.py(762): _next_data,python_function,6294.017,2098.005667,3
ScaledDotProductEfficientAttentionBackward0,cpu_op,6097.228,169.3674444,36
aten::_scaled_dot_product_efficient_attention_backward,cpu_op,5908.477,164.1243611,36
torch/utils/data/_utils/fetch.py(47): fetch,python_function,5608.49,1869.496667,3
transformers/models/bert/modeling_bert.py(465): forward,python_function,5282.81,146.7447222,36
transformers/models/bert/modeling_bert.py(551): forward,python_function,5260.785,146.1329167,36
aten::_efficient_attention_backward,cpu_op,4866.714,135.1865,36
autograd::engine::evaluate_function: ViewBackward0,cpu_op,4367.284,7.542804836,579
cudaMemsetAsync,cuda_runtime,4316.184,5.065943662,852
aten::t,cpu_op,4160.851,3.748514414,1110
transformers/models/bert/modeling_bert.py(538): forward,python_function,3478.183,96.61619444,36
torch/nn/modules/normalization.py(216): forward,python_function,3429.87,45.7316,75
aten::transpose,cpu_op,3389.04,2.053963636,1650
