% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 28.35    0.807336        1751       461           writev
 25.25    0.718883         190      3773       451 openat
 16.54    0.470898        3488       135        11 futex
 14.60    0.415806           2    178975           clock_gettime
  8.28    0.235740          69      3374           close
  4.18    0.119026          16      7184        38 read
  1.51    0.042866          10      4165      2322 ioctl
  0.42    0.011976           1     11475      1748 stat
  0.24    0.006825           1      6007         5 _llseek
  0.14    0.003887           3      1050           getdents64
  0.13    0.003572           0      5502           fstat
  0.09    0.002633           1      1524           mmap
  0.06    0.001758           0      1863           brk
  0.06    0.001663           3       457           munmap
  0.04    0.001203        1203         1           wait4
  0.02    0.000559           1       300           write
  0.02    0.000456           1       356           mprotect
  0.01    0.000416           1       268        94 connect
  0.01    0.000385           9        40           clone
  0.01    0.000275           3        70           rt_sigaction
  0.01    0.000226           2        82           fcntl
  0.01    0.000185           0       269           getpid
  0.00    0.000128           1       102           poll
  0.00    0.000119           1        64           socket
  0.00    0.000084           1        76           getsockname
  0.00    0.000080           2        36           recvmsg
  0.00    0.000050           8         6         1 unlink
  0.00    0.000048           4        12           sendto
  0.00    0.000046           1        31        31 mkdir
  0.00    0.000039           3        12           sendmmsg
  0.00    0.000033           2        14           bind
  0.00    0.000028           1        24           recvfrom
  0.00    0.000028           1        25           setsockopt
  0.00    0.000022           0        23           getsockopt
  0.00    0.000018           6         3           eventfd2
  0.00    0.000015           0        17           getrandom
  0.00    0.000014           1        11           pread64
  0.00    0.000013           4         3         2 access
  0.00    0.000013           4         3           dup
  0.00    0.000012           2         5           uname
  0.00    0.000010           2         4           statfs
  0.00    0.000006           0        30         2 lstat
  0.00    0.000006           3         2           sysinfo
  0.00    0.000006           1         6           getcwd
  0.00    0.000006           1         4           sched_getaffinity
  0.00    0.000005           5         1           listen
  0.00    0.000004           0         6           flock
  0.00    0.000004           1         3           prlimit64
  0.00    0.000003           1         2           clock_nanosleep
  0.00    0.000002           0         9         3 readlink
  0.00    0.000001           1         1           getuid
  0.00    0.000001           1         1           getgid
  0.00    0.000001           0         2           geteuid
  0.00    0.000001           1         1           getegid
  0.00    0.000001           0         2           get_mempolicy
  0.00    0.000001           0        12           getpeername
  0.00    0.000000           0         2           open
  0.00    0.000000           0         2           link
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         2           chmod
  0.00    0.000000           0         3           rename
  0.00    0.000000           0         4           umask
  0.00    0.000000           0         1           sched_get_priority_max
  0.00    0.000000           0         1           sched_get_priority_min
  0.00    0.000000           0         6           rt_sigprocmask
  0.00    0.000000           0         3           sigaltstack
  0.00    0.000000           0        31           madvise
  0.00    0.000000           0         1           gettid
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1         1 set_mempolicy
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           utimensat
  0.00    0.000000           0         3           pipe2
------ ----------- ----------- --------- --------- ----------------
100.00    2.847422                227948      4709 total
