% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 22.50    0.890088        1862       478           writev
 22.35    0.884327        1126       785           write
 14.16    0.559990         112      4974           close
 12.04    0.476180          86      5484       513 openat
  9.78    0.386964           3    118637           clock_gettime
  3.90    0.154415         504       306        10 futex
  3.74    0.147849          24      5931      3809 ioctl
  2.79    0.110344           2     40955        31 lstat
  2.65    0.104694          39      2682           munmap
  2.15    0.084901          33      2511           brk
  1.31    0.051666           4     10340        32 read
  1.19    0.047003           2     21218      2676 stat
  0.35    0.013973       13973         1           wait4
  0.34    0.013387           1      7568         6 lseek
  0.27    0.010574           1      8590           fstat
  0.24    0.009646           2      4712           mmap
  0.11    0.004231           4       994           getdents64
  0.02    0.000886           1       574           mprotect
  0.01    0.000544           2       257           sched_setaffinity
  0.01    0.000473           1       264           clock_nanosleep
  0.01    0.000437           4        95           clone
  0.01    0.000384           5        68           rt_sigaction
  0.01    0.000378           3       116           fcntl
  0.01    0.000322           5        61        56 unlink
  0.01    0.000279           2       101           poll
  0.01    0.000240           4        55        55 symlink
  0.01    0.000198           1       116           pread64
  0.00    0.000161           1       125        41 connect
  0.00    0.000142           3        38        36 mkdir
  0.00    0.000140           1       122           getpid
  0.00    0.000138          23         6           sendmmsg
  0.00    0.000124          31         4           fadvise64
  0.00    0.000108          36         3           unlinkat
  0.00    0.000097           2        33           socket
  0.00    0.000082           8        10         3 readlink
  0.00    0.000071           2        25           gettimeofday
  0.00    0.000041          41         1           rmdir
  0.00    0.000040          13         3           eventfd2
  0.00    0.000038           2        13           getcwd
  0.00    0.000038           9         4           statx
  0.00    0.000029           0        64           mbind
  0.00    0.000025           1        18           recvmsg
  0.00    0.000025          12         2           sysinfo
  0.00    0.000019           2         8           dup
  0.00    0.000019           3         6           sendto
  0.00    0.000019           3         6           sched_get_priority_max
  0.00    0.000018           3         6           sched_get_priority_min
  0.00    0.000017           5         3         2 access
  0.00    0.000017           0        40           getsockname
  0.00    0.000014           1        12           recvfrom
  0.00    0.000013           6         2           link
  0.00    0.000012           0        13           setsockopt
  0.00    0.000012           3         4           umask
  0.00    0.000010           2         4           geteuid
  0.00    0.000009           0        12           getsockopt
  0.00    0.000009           3         3           getuid
  0.00    0.000009           2         4           prlimit64
  0.00    0.000008           1         8           bind
  0.00    0.000008           2         3           getgid
  0.00    0.000008           2         3           getegid
  0.00    0.000008           4         2           get_mempolicy
  0.00    0.000007           3         2           gettid
  0.00    0.000006           0         7           uname
  0.00    0.000006           0        12         2 sched_getaffinity
  0.00    0.000004           0         7           rt_sigprocmask
  0.00    0.000004           0         6           getpeername
  0.00    0.000004           4         1           set_tid_address
  0.00    0.000004           4         1           newfstatat
  0.00    0.000003           1         2         1 arch_prctl
  0.00    0.000003           3         1           set_robust_list
  0.00    0.000003           1         3           pipe2
  0.00    0.000002           2         1           listen
  0.00    0.000002           0         3           statfs
  0.00    0.000001           0         2           fchmod
  0.00    0.000001           0         3           getcpu
  0.00    0.000001           0         4           getrandom
  0.00    0.000000           0         2           open
  0.00    0.000000           0         9           madvise
  0.00    0.000000           0         1           vfork
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         4           flock
  0.00    0.000000           0         1           rename
  0.00    0.000000           0         1           epoll_create1
------ ----------- ----------- --------- --------- ----------------
100.00    3.955952                238557      7273 total
