% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 27.72    0.792125        1718       461           writev
 24.90    0.711554         188      3772       451 openat
 16.33    0.466681        3357       139         9 futex
 14.01    0.400269           2    172371           clock_gettime
  7.70    0.220113          65      3372           close
  5.88    0.168104          23      7186        39 read
  1.60    0.045633           9      4585      2322 ioctl
  0.52    0.014994          28       531           munmap
  0.44    0.012481           1     11476      1748 stat
  0.28    0.008042           1      6007         5 _llseek
  0.19    0.005324           5      1050           getdents64
  0.14    0.003948           2      1615           mmap
  0.13    0.003672           0      5502           fstat
  0.07    0.002009           0      2253           brk
  0.02    0.000586           1       299           write
  0.02    0.000435           1       368           mprotect
  0.01    0.000199           0       268           getpid
  0.01    0.000191           2        82           fcntl
  0.01    0.000162           3        52           clone
  0.00    0.000122           0       269        94 connect
  0.00    0.000094           3        30         2 lstat
  0.00    0.000073           0       103           poll
  0.00    0.000066           1        63           socket
  0.00    0.000055           1        32        32 mkdir
  0.00    0.000044           4         9         3 readlink
  0.00    0.000037           2        17           getrandom
  0.00    0.000033           8         4           statfs
  0.00    0.000020           1        14           bind
  0.00    0.000020           0        76           getsockname
  0.00    0.000018           3         6           flock
  0.00    0.000017           5         3         2 access
  0.00    0.000017           5         3           eventfd2
  0.00    0.000016           2         6         1 unlink
  0.00    0.000015           0        70           rt_sigaction
  0.00    0.000012           1        11           pread64
  0.00    0.000012           4         3           prlimit64
  0.00    0.000011           5         2           sysinfo
  0.00    0.000011           0        25           setsockopt
  0.00    0.000011           0        36           recvmsg
  0.00    0.000010           3         3           rename
  0.00    0.000009           0        31           madvise
  0.00    0.000008           4         2           link
  0.00    0.000008           1         6           rt_sigprocmask
  0.00    0.000008           8         1           set_tid_address
  0.00    0.000008           8         1           set_robust_list
  0.00    0.000008           0        12           sendmmsg
  0.00    0.000007           0        24           recvfrom
  0.00    0.000005           1         4           sched_getaffinity
  0.00    0.000005           0        12           sendto
  0.00    0.000004           2         2           geteuid
  0.00    0.000004           0         5           uname
  0.00    0.000004           4         1           listen
  0.00    0.000004           0        23           getsockopt
  0.00    0.000002           1         2           clock_nanosleep
  0.00    0.000001           1         1         1 set_mempolicy
  0.00    0.000001           0        12           getpeername
  0.00    0.000000           0         2           open
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         2           chmod
  0.00    0.000000           0         1           getuid
  0.00    0.000000           0         3           dup
  0.00    0.000000           0         1           getgid
  0.00    0.000000           0         1           getegid
  0.00    0.000000           0         4           umask
  0.00    0.000000           0         1           wait4
  0.00    0.000000           0         1           sched_get_priority_max
  0.00    0.000000           0         1           sched_get_priority_min
  0.00    0.000000           0         6           getcwd
  0.00    0.000000           0         3           sigaltstack
  0.00    0.000000           0         1           gettid
  0.00    0.000000           0         2           get_mempolicy
  0.00    0.000000           0         1           utimensat
  0.00    0.000000           0         3           pipe2
------ ----------- ----------- --------- --------- ----------------
100.00    2.857322                222347      4709 total
